Structure,Root  Code,SV ,Barcode, Name 
110100103,100768665,0,8851372000639,KETTEL 1.5L WELLCO W-150 
110100103,102181537,0,8859110100085,กาต้มน้ำ 1.8L SMARTH. CA-1009 
110100103,102249387,0,8854336030703,กาต้มน้ำ 1.7 L KASHIWA EK180 
110100103,102331931,0,8710103630807,ฟิลิปส์กาต้มน้ำ1.5ลิตรHD9306 
110100103,102433252,0,8851456106479,กาต้มน้ำไฟฟ้า ชาร์ป EKJ-176 
110100103,102514650,0,3045386372218,กาต้มน้ำ1.5L TEFAL KO150166 
110100103,102736858,0,2000006791405,KETTLE BESICO K020BN 1.7 L(SS) 
110100103,102780443,0,8851456107322,กาต้มน้ำไฟฟ้า1.7L ชาร์ปEKJ-177 
110100103,102903174,0,8851443287006,IMARFLEXกาต้มน้ำ1.2L IF-287 
110100103,102903250,0,8852374205282,HANABISHI กาต้มน้ำ0.8L HCK-08 
110100103,102942181,0,8852374205329,HANADENKI กาน้ำ1.8 HDK-664 
110100103,103131299,0,8852374208009,HANABISHIกา1.6ล.HCK-161 เขียว 
110100103,103138654,0,8859110106568,SMARTHOMEกาต้มน้ำ1.8L CA2024 
110100103,103176675,0,8859847101058,SIMPLUS กาต้มน้ำ DRSH007PKBCBB 
110100103,103196030,0,8854336047114,KASHIWA POMPOMกาน้ำ1.8L PCK194 
110100103,103197184,0,8851456107858,SHARPกาต้มน้ำไฟฟ้าEKJ-102 1.0L 
110100105,100824495,0,8851456104413,JAR POT 3.3L SHARP KP-Y33 
110100105,100844262,0,8851456104697,JAR POT 1.8L SHARP KP-19S 
110100105,100844266,0,8851456104727,JAR POT 2.9L SHARP KP-30ST 
110100105,101034443,0,8854182040321,ELEC JAR POT 2.2L TOSHIBA PLK-G22 
110100105,102136573,0,8851456104437,ELECTRIC JAR POT SHARP KP-Y32P 
110100105,102324881,0,8852374204445,กระติกน้ำร้อน600Wฮานาบิชิ8002 
110100105,102499983,0,8852607003753,กระติกน้ำร้อน2.5 ลออตโตPT-250A 
110100105,102556906,0,8851456107049,กระติกไฟฟ้า1.6ล. ชาร์ป KP-B16S 
110100105,102556907,0,8851456107063,กระติกไฟฟ้า2.8ล. ชาร์ป KP-B28S 
110100105,102728642,0,8851456107261,กระติกไฟฟ้า.6 L. ชาร์ป KP-B36S 
110100105,102730226,0,8854182040727,กระติกน้ำ3.3L โตชิบา PLK-G33TS 
110100105,102730247,0,8854336038327,กระติกน้ำร้อน2.5LKASHIWA#KT287 
110100105,102904854,0,8854336038662,OXYGEN ถังต้มน้ำไฟฟ้า 11L YL11 
110100105,103197119,0,8859110106391,SMARTHOMEกระติกน้ำ2.5L SJP7503 
110100301,100777331,0,8852607001513,RICE COOKER 1L OTTO CR-110T 
110100301,100777332,0,8852607001568,RICE COOKER 1.8L OTT0 CR-118T 
110100301,102151721,0,8852607001872,RICE COOKER 1L OTTO CR-110     
110100301,102258511,0,8851456106332,หม้อหุ้งข้าวชาร์ป รุ่น KSH-Q03 
110100301,102481446,0,8851456106585,หม้อหุงข้าว0.6 ลชาร์ปKSH-D06 
110100301,102481447,0,8851456106677,หม้อหุงข้าว1.1 ลชาร์ปKSH-D11 
110100301,102481448,0,8851456106721,หม้อหุงข้าว1.5 ลชาร์ปKSH-D15 
110100301,102481449,0,8851456106776,หม้อหุงข้าว1.8 ลชาร์ปKSH-D18 
110100301,102481450,0,8851456106875,หม้อหุงข้าว2.2 ลชาร์ปKSH-D22 
110100301,102481451,0,8851456106929,หม้อหุงข้าว2.8 ลชาร์ปKSH-D28 
110100301,102481454,0,8851456106981,หม้อหุงข้าว5.0 ลชาร์ปKSH-D55 
110100301,102481455,0,8851456106998,หม้อหุงข้าว7.0 ลชาร์ปKSH-D77 
110100301,102503588,0,8859110102362,SMARTHOME ม.หุงข้าว SRC1003 1L 
110100301,102731493,0,8854336038341,หม้อข้าว 1L คาชิว่า RC114 
110100301,102810870,0,8936049137174,หม้อหุงข้าว1.8L โตชิบาRC-T18CE 
110100301,102853557,0,8854336035227,KASHIWAหม้อข้าว1.0L400W RC710 
110100301,102903183,0,8859110104786,SM หม้อหุงข้าว1.8L SRC1812 
110100301,103056127,0,8854336044434,KASHIWA หม้อหุงข้าว RC922 2.2L 
110100301,103105119,0,8851456107537,SHARP ม.หุงข้าว KSH-D44 3.8L 
110100301,103131300,0,8854336044878,KASHIWAหม้อ1.8L RC418 
110100302,100588197,0,8852607000554,RICE COOKER 1.8L OTTO CR-180T 
110100302,100588198,0,8852607000578,RICE COOKER 1.L OTTO CR-100T 
110100302,100903720,0,8851456105038,RICE COOKER 1.8L SHARP KS19ET 
110100302,100915008,0,8851456105021,RICE COOKER 1.8L SHARP KS19E 
110100302,100928110,0,8851456104963,RICECOOKER 1.8L SHARP KSR19ST 
110100302,100945954,0,8851456105014,RICE COOKER 1L SHARP KS11ET 
110100302,101999579,0,8854336022913,RICE COOKER 1.8L KASHIWA RC180 
110100302,102181543,0,8859110100153,หม้อหุงข้าว1.0L SMARTH. NC-R14 
110100302,102181544,0,8859110100160,SMARTHOME หม้อข้าว1.8NC-R16 
110100302,102835958,0,8854336039614,คาซิวาหม้อหุงข้าว1ล.RC110 
110100302,102858737,0,6939962775234,TOSHIBA ม.หุงข้าว1.8L RC-T18JH 
110100302,102891621,0,7332543775620,ELEC ม.ข้าว.1.8L E4RC1-350B 
110100302,103023809,0,8851456107476,SHARPหม้อหุงข้าวKS-P18E 1.8ล 
110100302,103037455,0,8851456107452,ชาร์ปม.หุงข้าวKS-PR18ET 1.8L 
110100302,103105118,0,8851456107483,SHARP ม.หุงข้าวKS-PR18ST 1.8L 
110100302,103136994,0,8720389036477,PHILIPS ม.หุง1.8L HD3212/32 
110100302,103161515,0,8720389036156,PHILIPSม.หุงข้าว1.8L HD3008/30 
110100302,103196026,0,8854336047961,KASHIWA POMPOMม.ข้าว0.6L RC067 
110100302,103215791,0,8859110107169,SM POWERPUFF ม.หุง1.2L SRC0604 
110100302,103256600,0,8859847105070,ซิมพลัส ม.หุง DFBA011CBBC-MC 
110100303,101991195,0,8851456105731,COMPUTERICE1.8L  HARP KS-COM18 
110100303,102689218,0,6939962764207,หม้อคอม 1.0LโตชิบาRC-T10DR1 
110100303,102689219,0,6939962764191,หม้อคอม 1.8LโตชิบาRC-T18DR1 
110100303,102752177,0,3016661156335,ม.ข้าวดิจิตอล1.8L TEFAL RK7321 
110100303,102858734,0,6939962775357,TOSHIBAหม้อคอม1.0L RC-T10DR2 
110100303,102858735,0,6939962775364,TOSHIBAหม้อคอม1.8L RC-T18DR2 
110100303,102891627,0,8859110103246,SMARTHOME ม.ข้าว.SM-RCD903 
110100303,102903184,0,8859110104113,SM ม.หุงข้าวDIGI 1.8L RCD906S 
110100303,103009804,0,8852374205770,HANABISHIหม้อข้าว1.8L#HAP-818D 
110100303,103161514,0,8720389037429,PHILIPSม.หุงข้าว1.8L HD4719/32 
110100303,103196027,0,8854336047107,KASHIWA POMPOMม.คอม1.8L RC1803 
110100401,102482667,0,8710103800361,ฟิลิปส์_ค.ปิ้งขนมปังHD2581/00 
110100401,102768455,0,8859525002172,ค.ปิ้งขนมปัง BESICO BL TL126 
110100401,102945855,0,8852607004927,OTTOเครื่องปิ้งขนมปัง TT-131 
110100401,102971932,0,8851456107513,SHARP คร.ปิ้งขนมปัง KZ-2S04 
110100403,102022600,0,8851443436008,เครื่องแซนวิชIF-436 
110100403,102023721,0,8851456105885,ค.ทำแซนด์วิช ชาร์ป KZS-70W 
110100403,102972434,0,8854336043239,KASHIWAค.ทำแซนวิส700W#SW08 
110100403,103176671,0,8859847101102,SIM ค.แซนวิช SMZJ001PKBCBBTH 
110100404,102972435,0,8854336043246,KASHIWAค.ทำวาฟเฟอร์700W#SW059 
110100501,102179775,0,8852607002985,BLENDER OTTO  BE-127 
110100501,102219569,0,8851456106240,เครื่องปั่น ชาร์ป 1.5 ลิตร EM-ICEPOWER 
110100501,102494573,0,8854336020476,คาชิว่าค.ปั่นเอนกประสงค์KW999 
110100501,102728640,0,8851456107186,เครื่องปั่น ชาร์ป EM-14 
110100501,102728641,0,8851456107223,เครื่องปั่น ชาร์ป EMC-15 
110100501,102730227,0,6971546340834,ค.ปั่น1.5L 600W โตชิบา BL-T60 
110100501,102835955,0,8710103930624,ฟิลิปส์คป.เอนกประสงค์HR2221/00 
110100501,102850994,0,8859110103895,SM ค.ปั่นน้ำผลไม้2LBD2022 
110100501,102903167,0,3016667243572,TEFALเครื่องปั่นBL2B1166? 
110100501,102904749,0,8720389001307,PHILIPSเครื่องปั่นHR2041/10 
110100501,103093290,0,8710103930976,ฟิลิปส์ค.ปั่น2ลิตรHR2223/00 
110100501,103161519,0,8854336046414,KASHIWAค.ปั่นอนป2ล.TG04 
110100501,103176676,0,8859847101096,SIM ค.ปั่นพกพา ZZJH008PKBCBB 
110100501,103205180,0,8859847102871,SIMPLUS แก้วปั่นZZJH011PKBC-BB 
110100501,103205357,0,8851456107919,SHARPค.ปั่นEM-M601 600W 1.25L 
110100501,103256599,0,8859847105193,ซิมพลัส แก้วปั่นZZJH012CBBC-MC 
110100502,102730216,0,7332543495788,ค.ผสมอาหารมือจับELEC  EHM3407 
