DIVISION_NAME,DEPT_GROUP_NAME,DEPARTMENT_NAME,SUBDEPARTMENT_NAME,CLASS_NAME,SUBCLASS_NAME,ART_SV_NAME
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500503 COATED CHOCOLATE,IMP_เฟอร์เรโรโยโกแลตเต้
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500501 BAR/BLOCK,IMP_คินเดอร์โชโกลาเด้
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205001 CANDY,0420500101 HARD CANDY,ลูกอมเวอร์เชอร์(แท่ง)50กรัม(M)
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,0250 STATIONERY & EDUTAINMENT,025020 PEN & OFFICE,02502024 OFFICE SUPPLIES,0250202404 GLUE,กาวสารพัดประโยชน์ 7ml.
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวียเอ็กซไวท์โรลออน25มล.
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวียเมนไวท์โรลออน25มล.
04 DRY FOOD,0460 HBA,0460 HBA,046070 MEN'S CARE,04607002 BODY,0460700204 DEO ROLL ON MEN,นีเวียเมนคูลคิกโรลออน25มล.
04 DRY FOOD,0460 HBA,0460 HBA,046070 MEN'S CARE,04607002 BODY,0460700204 DEO ROLL ON MEN,นีเวียเมนโรลออนอินวิซิเบิล25มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวียเพิร์ลแอนด์บิวตี้12 มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605001 BODY LOTION,0460500103 SUNCARE,นีเวียซันบอดี้ มอยส์#50 180มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605001 BODY LOTION,0460500103 SUNCARE,นีเวียซันบอดี้ ไวท์#50 180มล
04 DRY FOOD,0461 FACE & COSMETICS,0461 FACE & COSMETICS,046170 FACIAL MOISTURIZER,04617001 UV PROTECTION,0461700101 FACIAL SUNSCREEN,นีเวียซันอินสแตนท์ออร่า 7มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605001 BODY LOTION,0460500103 SUNCARE,นีเวียซันบอดี้วิตซีSPF50 30มล
04 DRY FOOD,0461 FACE & COSMETICS,0461 FACE & COSMETICS,046170 FACIAL MOISTURIZER,04617001 UV PROTECTION,0461700101 FACIAL SUNSCREEN,นีเวีย ซัน ออยล์ คอนโทรล 7มล
