MS_NO,DIVISION_GROUP,DIVISION_NAME,DEPT_GROUP_NAME,DEPARTMENT_NAME,SUBDEPARTMENT_NAME,CLASS_NAME,SUBCLASS_NAME,ART_SV_NAME,ART_SV_NAME_ENG,ART_NO,ART_SV_NO,BARCODE,BRAND,MODEL_NO,EXTRA_INFO,DC_SUPPL_NO,DC_SUPPL_NAME
440200302,02 Food,04 DRY FOOD,0440 BEVERAGE,0440 BEVERAGE,044020 NON- CARBONATED DRINK,04402003 READY TO DRINK,0440200302 COFFEE,WBPเนสกาแฟเอสเพรสโซ่ 170มล.P30,WBP NESCAFE ESPRESSO 170ML.P30,100532017,1,98851012103709,NESCAFE,BP PACK30,SALES_PACK,,
540990602,02 Food,05 FRESH FOOD,0540 DELICATESSEN,0540 DELICATESSEN,054099 RAW MATERIAL,05409906 SEASONING,0540990602 SAUCE,โรซ่า ซอสมะเขือเทศ1000G (1*12),ROSA TOMATO SAUCE 1000(1*2),100998821,0,98850511321973,ROZA,NO_MODEL,PMD311249,9110142,9110142 : BPINDC-XDOCK(42)
462600101,02 Food,04 DRY FOOD,0460 HBA,0462 HBA_WHSL,046260 BODY CLEANSE_WHSL,04626001 BAR SOAP_WHSL,0462600101 BEAUTY SOAP_WHSL,BP_พฤกษานกแก้วสบู่พีช105P96,BP_PARROT BS LILLY PEA105GP96,102894227,0,48851929021023,PARROT,105G*96,NMD030124,9110142,9110142 : BPINDC-XDOCK(42)
462600101,02 Food,04 DRY FOOD,0460 HBA,0462 HBA_WHSL,046260 BODY CLEANSE_WHSL,04626001 BAR SOAP_WHSL,0462600101 BEAUTY SOAP_WHSL,BP_พฤกษานกแก้วสบู่ทานาคา70P144,BP_PARROT BS THANAKA70G  P144,102875759,0,48851929018320,PARROT,70G*144,NMD300426,9110142,9110142 : BPINDC-XDOCK(42)
540990603,02 Food,05 FRESH FOOD,0540 DELICATESSEN,0540 DELICATESSEN,054099 RAW MATERIAL,05409906 SEASONING,0540990603 SALT,DE_โรซ่า ซีอิ๊วขาว 4X4.5ลิตร,DE_ROZAWHITESOYBEANSAUCE4X4.5L,100878327,0,48850511321947,OTHER,630CCX12ขวด,PMD311249,9110142,9110142 : BPINDC-XDOCK(42)
540990707,02 Food,05 FRESH FOOD,0540 DELICATESSEN,0540 DELICATESSEN,054099 RAW MATERIAL,05409907 FRESH INGREDIENT,0540990707 PROCESSED FOOD,ทูน่าในน้ำมันพืช1 85G (1*48),TUNA WITH OIL 185 G.(1*48),100572064,0,48850511221117,HI-Q,1หีบ/6กระป๋อง,PMD311249,9110142,9110142 : BPINDC-XDOCK(42)
440300102,02 Food,04 DRY FOOD,0440 BEVERAGE,0440 BEVERAGE,044030 UHT MILK,04403001 MILK,0440300102 KIDS,โฟร์โมสต์โอเมก้านมยูเอชทีรสจืด180มลP4X9,FOREMOST OMEGA PLAIN180ML P4X9,101054879,1,38850188800052,FOREMOST,NO_MODEL,SALES_PACK,,
480100205,02 Food,04 DRY FOOD,0480 PETS,0480 PETS,048010 PET FOOD,04801002 CAT FOOD,0480100205 CAT WET,เน็กโกะ แวลูแพ็ค 10X70กรัม,NEKKO VALUE PACK 10X70GRAM,103213159,0,28859160404564,NEKKO,NO_MODEL,SPS270826,9110142,9110142 : BPINDC-XDOCK(42)
480100205,02 Food,04 DRY FOOD,0480 PETS,0480 PETS,048010 PET FOOD,04801002 CAT FOOD,0480100205 CAT WET,เน็กโกะทูน่าปลาโอเยลลี่12X70ก,NEKKO TUNA KATSUOBUSHI 70X12G,102941226,0,28859160400122,NEKKO,NO_MODEL,NMD280726,9110142,9110142 : BPINDC-XDOCK(42)
440200101,02 Food,04 DRY FOOD,0440 BEVERAGE,0440 BEVERAGE,044020 NON- CARBONATED DRINK,04402001 SPORTS/ENERGY DRINK,0440200101 ENERGY,WBP GSD โสมตังกุยจับ 100มล P50,WBP GSD GINSENG 100ML P50,102731061,2,28852314110021,GSD,100MLX50,SALES_PACK,,
540990707,02 Food,05 FRESH FOOD,0540 DELICATESSEN,0540 DELICATESSEN,054099 RAW MATERIAL,05409907 FRESH INGREDIENT,0540990707 PROCESSED FOOD,ชาวเกาะ วุ้นมะพร้าวกลิ่นเมลอน,CHAOKOH COCO JELLY W MELON,100500014,0,28850367994711,OTHER,PACK,PMD311249,9292452,9292452 : FF CENTRAL SUPP-52 (X-DOCK-92924)
540990707,02 Food,05 FRESH FOOD,0540 DELICATESSEN,0540 DELICATESSEN,054099 RAW MATERIAL,05409907 FRESH INGREDIENT,0540990707 PROCESSED FOOD,ชาวเกาะ วุ้นมะพร้าวกลิ่นแตงโม,CHAOKOH JELLY W WATERMELON,100569519,0,28850367994704,OTHER,PACK,PMD311249,9292452,9292452 : FF CENTRAL SUPP-52 (X-DOCK-92924)
430400101,02 Food,04 DRY FOOD,0430 SALTED GROCERY,0430 SALTED GROCERY,043040 COOKING INGRED.,04304001 COOKING OIL,0430400101 SOYBEAN OIL,WBPองุ่นน้ำมันถั่วเหลือง1ล.P12,WBP ANGOON SOYBEAN OIL 1L P12,100614257,1,28850210000033,ANGOON,BP PACK12,SALES_PACK,,
440300102,02 Food,04 DRY FOOD,0440 BEVERAGE,0440 BEVERAGE,044030 UHT MILK,04403001 MILK,0440300102 KIDS,โฟร์โมสต์OMG ซูเปอร์4+180มลX27,FOREMOST SUPERGOLD4+ 180ML.X27,103244224,0,28850188806477,FOREMOST,NO_MODEL,NMD200626,9110141,9110141 : BPINDC-STOCKING(41)
440300102,02 Food,04 DRY FOOD,0440 BEVERAGE,0440 BEVERAGE,044030 UHT MILK,04403001 MILK,0440300102 KIDS,โฟร์โมสต์OMG ซูเปอร์1+180มลX27,FOREMOST SUPERGOLD1+ 180ML.X27,103244221,0,28850188806446,FOREMOST,NO_MODEL,NMD200626,9110141,9110141 : BPINDC-STOCKING(41)
540990802,02 Food,05 FRESH FOOD,0540 DELICATESSEN,0540 DELICATESSEN,054099 RAW MATERIAL,05409908 DRY INGREDIENT,0540990802 DRY NOODLE,เส้นสปาเก็ตตี้ 1000G (1*5),PASTODORO SPAGHETTI,100744546,0,28850144154307,OTHER,5X1กก.,NMD210923,9110142,9110142 : BPINDC-XDOCK(42)
550990705,02 Food,05 FRESH FOOD,0550 BAKERY,0550 BAKERY,055099 RAW MATERIAL,05509907 RAW MATERIAL,0550990705 FILLING/TOPPING,ฟิลลิ่งบลูเบอร์รี่เบสท์ฟู้ดส์,BF FILLING BLUEBERRY 4X1.8 KG.,100891897,0,28850144109901,OTHER,8กก./หีบ,PMD311249,9110142,9110142 : BPINDC-XDOCK(42)
550990705,02 Food,05 FRESH FOOD,0550 BAKERY,0550 BAKERY,055099 RAW MATERIAL,05509907 RAW MATERIAL,0550990705 FILLING/TOPPING,ฟิลลิ่งวานิลลาตราเบสท์ฟู้ดส์,BF FILLING VANILLA 4X1.8 KG.,100891895,0,28850144025201,OTHER,8กก./หีบ,PMD311249,9110142,9110142 : BPINDC-XDOCK(42)
441300103,02 Food,04 DRY FOOD,0440 BEVERAGE,0441 BEVERAGE_WHSL,044130 UHT MILK_WHSL,04413001 MILK_WHSL,0441300103 PLAIN_WHSL,J_ไทยเดนมาร์กUHTรสหวาน250มลx12,J_THAI-DANISH SWEET 250MLx12,102015797,0,18852537012211,THAI DANISH,250 ML X P12,DMD230513,,
441300103,02 Food,04 DRY FOOD,0440 BEVERAGE,0441 BEVERAGE_WHSL,044130 UHT MILK_WHSL,04413001 MILK_WHSL,0441300103 PLAIN_WHSL,J_ไทยเดนมาร์กUHTรสจืด 250มลx12,J_THAI-DANISH PLAIN 250MLx12,102015795,0,18852537011214,THAI DANISH,250 ML X P12,NMD120826,9110141,9110141 : BPINDC-STOCKING(41)
550990803,02 Food,05 FRESH FOOD,0550 BAKERY,0550 BAKERY,055099 RAW MATERIAL,05509908 FROZEN DOUGH,0550990803 PASTRIES,เดนิชโบ๋วโล๋วรสนมเนย 90ก._FZ,BOLO DANISH MILK BUTTER90G._FZ,103252750,0,18852098709018,OTHER,NO_MODEL,PMD311249,9292452,9292452 : FF CENTRAL SUPP-52 (X-DOCK-92924)
550990705,02 Food,05 FRESH FOOD,0550 BAKERY,0550 BAKERY,055099 RAW MATERIAL,05509907 RAW MATERIAL,0550990705 FILLING/TOPPING,ฟิลลิ่งแอลซีสตรอเบอร์รี่เบสท์,BF FILLING LC STRAWBERRY 4X1.8,100891888,0,18851932442951,OTHER,8กก./หีบ,PMD311249,9110142,9110142 : BPINDC-XDOCK(42)
440300301,02 Food,04 DRY FOOD,0440 BEVERAGE,0440 BEVERAGE,044030 UHT MILK,04403003 SOY MILK,0440300301 ORIGINAL,WBPไวตามิ้ลทูโกออริจินัล300P24,WBP VITAMILK TOGO 300ML P24,102663924,0,18851028140020,VITAMILK,300ML,NMD280726,9110141,9110141 : BPINDC-STOCKING(41)
440300302,02 Food,04 DRY FOOD,0440 BEVERAGE,0440 BEVERAGE,044030 UHT MILK,04403003 SOY MILK,0440300302 BLACK SESAME,WBPไวตามิลทูโกดับเบิลแบค300P24,WBP VITAMILK TOGO BLACK300 P24,102663925,0,18851028001147,VITAMILK,300ML,NMD280726,9110141,9110141 : BPINDC-STOCKING(41)
540990602,02 Food,05 FRESH FOOD,0540 DELICATESSEN,0540 DELICATESSEN,054099 RAW MATERIAL,05409906 SEASONING,0540990602 SAUCE,DE_ซอสหอยนางรม1กก.(1*12),DE_OYSTER SAUCE 1GK.(1*12),103216533,0,18850511521223,OTHER,NO_MODEL,PMD311249,9110142,9110142 : BPINDC-XDOCK(42)
540990602,02 Food,05 FRESH FOOD,0540 DELICATESSEN,0540 DELICATESSEN,054099 RAW MATERIAL,05409906 SEASONING,0540990602 SAUCE,ไฮคิว น้ำจิ้มไก่ 1000G (1*6),HI-Q CHICKEN DRESSING 1000G(1*6),100998847,0,18850511321915,HI-Q,NO_MODEL,PMD311249,9110142,9110142 : BPINDC-XDOCK(42)
540990602,02 Food,05 FRESH FOOD,0540 DELICATESSEN,0540 DELICATESSEN,054099 RAW MATERIAL,05409906 SEASONING,0540990602 SAUCE,โรซ่า ซอสปรุงอาหาร4500ML (1*4),ROZA SEASONING SAUCE 4500ML(1*4),100998833,0,18850511321038,ROZA,NO_MODEL,PMD311249,9110142,9110142 : BPINDC-XDOCK(42)
450500101,02 Food,04 DRY FOOD,0450 LIQUOR,0450 LIQUOR,045050 WINE COOLER,04505001 RED,0450500101 BOTTLE,BP SPY บัตเตอร์ฟลายคิส แพ็ค 12,BP SPY BUTTERFLY  275  ML.*12,102859984,0,18850382001190,SPY,275*12,NMD200626,9110141,9110141 : BPINDC-STOCKING(41)
450500101,02 Food,04 DRY FOOD,0450 LIQUOR,0450 LIQUOR,045050 WINE COOLER,04505001 RED,0450500101 BOTTLE,BP SPY เรด 275 ML *12,BP SPY RED 275  ML. *12,102591164,0,18850382001060,SPY,275*12,NMD200626,9110141,9110141 : BPINDC-STOCKING(41)
450500101,02 Food,04 DRY FOOD,0450 LIQUOR,0450 LIQUOR,045050 WINE COOLER,04505001 RED,0450500101 BOTTLE,BP SPY คลาสสิค 275 ML *12,BP SPY CLASSIC  275  ML.*12,102591163,0,18850382001053,SPY,275*12,NMD200626,9110141,9110141 : BPINDC-STOCKING(41)
440300301,02 Food,04 DRY FOOD,0440 BEVERAGE,0440 BEVERAGE,044030 UHT MILK,04403003 SOY MILK,0440300301 ORIGINAL,WBPแลคตาซอย รสหวาน 125มล P60,WBP LACTASOY SWEET 125ML P60,100875892,1,18850267128721,LACTASOY,NO_MODEL,SALES_PACK,,
440300301,02 Food,04 DRY FOOD,0440 BEVERAGE,0440 BEVERAGE,044030 UHT MILK,04403003 SOY MILK,0440300301 ORIGINAL,WBPแลคตาซอย สูตรเจ 300มล P36,WBP LACTASOY HICALCIUM300MLP36,100566436,1,18850267118241,LACTASOY,NO_MODEL,SALES_PACK,,
430400102,02 Food,04 DRY FOOD,0430 SALTED GROCERY,0430 SALTED GROCERY,043040 COOKING INGRED.,04304001 COOKING OIL,0430400102 PALM OIL,WBPมรกตน้ำมันปาล์ม 1ลิตร P12,WBP MORAKOT PALM 1L P12B,100614247,1,18850154000048,MORAKOT,BP PACK12,SALES_PACK,,
550990705,02 Food,05 FRESH FOOD,0550 BAKERY,0550 BAKERY,055099 RAW MATERIAL,05509907 RAW MATERIAL,0550990705 FILLING/TOPPING,ซอสพิซซ่าตราคนอร์,KNORR PIZZA SAUCE DW 6X1 KG.,101929271,0,18850144257599,KNORR,NO_MODEL,PMD311249,9110142,9110142 : BPINDC-XDOCK(42)
550990705,02 Food,05 FRESH FOOD,0550 BAKERY,0550 BAKERY,055099 RAW MATERIAL,05509907 RAW MATERIAL,0550990705 FILLING/TOPPING,ฟิลลิ่งรสช็อกโกแลตตราเบสท์ฟู้ดส์,BF FILLING CHOCOLATE 9X900G.,102348419,0,18850144215568,OTHER,NO_MODEL,PMD311249,9110142,9110142 : BPINDC-XDOCK(42)
540990604,02 Food,05 FRESH FOOD,0540 DELICATESSEN,0540 DELICATESSEN,054099 RAW MATERIAL,05409906 SEASONING,0540990604 ARTIFICIAL FLAVOR,คนอร์ผงมะนาว15X400,KNORR LIME POWDER15X400,103146760,0,18850144214998,OTHER,NO_MODEL,PMD311249,9110142,9110142 : BPINDC-XDOCK(42)
550990705,02 Food,05 FRESH FOOD,0550 BAKERY,0550 BAKERY,055099 RAW MATERIAL,05509907 RAW MATERIAL,0550990705 FILLING/TOPPING,เบสทฟู้ดส์เอสอีมายองเนส910กX12,BF SE BAKERY MAYONNAISE 12X910,101869439,0,18850144206153,OTHER,NO_MODEL,PMD311249,9110142,9110142 : BPINDC-XDOCK(42)
550990705,02 Food,05 FRESH FOOD,0550 BAKERY,0550 BAKERY,055099 RAW MATERIAL,05509907 RAW MATERIAL,0550990705 FILLING/TOPPING,ฟิลลิ่งคัสตาร์ดไข่เบสท์ฟู้ดส์,BF FILLING EGG CUSTARD 9X900G,102362837,0,18850144205248,OTHER,NO_MODEL,PMD311249,9110142,9110142 : BPINDC-XDOCK(42)
550990705,02 Food,05 FRESH FOOD,0550 BAKERY,0550 BAKERY,055099 RAW MATERIAL,05509907 RAW MATERIAL,0550990705 FILLING/TOPPING,คัสตาร์ดใบเตยฟิลลิ่ง 9/900ก,BF FILLING PANDAN 4X1.8 KG.,100905501,0,18850144201851,OTHER,8กก./หีบ,PMD311249,9110142,9110142 : BPINDC-XDOCK(42)
550990705,02 Food,05 FRESH FOOD,0550 BAKERY,0550 BAKERY,055099 RAW MATERIAL,05509907 RAW MATERIAL,0550990705 FILLING/TOPPING,คนอร์ซอสมะเขือเทศ 1 กก X 12,KNORR TOMATO SAUCE DARWIN 12X1,101929202,0,18850144201639,OTHER,NO_MODEL,PMD311249,9110142,9110142 : BPINDC-XDOCK(42)
540990802,02 Food,05 FRESH FOOD,0540 DELICATESSEN,0540 DELICATESSEN,054099 RAW MATERIAL,05409908 DRY INGREDIENT,0540990802 DRY NOODLE,มักกะโรนีข้องอ 2.5KG (1*2),BF FUSILLI 2.5K.(1*2),100515206,0,18850144150302,BEST FOODS,1X2X2.5 KG.,NMD030124,9110142,9110142 : BPINDC-XDOCK(42)
430400205,02 Food,04 DRY FOOD,0430 SALTED GROCERY,0430 SALTED GROCERY,043040 COOKING INGRED.,04304002 COOKING SAUCES,0430400205 OYSTER SAUCE,WBPแม่ครัวซอสหอยนางรม300มลP12,WBP MAEKRUA OYSTER SAUCE300P12,102424465,0,18850038400025,MAEKRUA,NO_MODEL,NMD200626,9110142,9110142 : BPINDC-XDOCK(42)
